%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0016.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0017.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0041.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0018.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0019.jpg			2
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0042.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0020.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0021.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0022.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0023.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0024.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0025.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0043.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0026.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0044.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0027.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0028.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0029.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0030.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0045.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0031.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0032.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0033.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0046.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0034.jpg			2
%													
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0047.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0035.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0036.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0037.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0048.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0038.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0039.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0040.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0041.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0042.jpg			2
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0043.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0044.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0045.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0046.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0049.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0047.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0048.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0049.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0050.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0050.jpg			2
%													
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0051.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0052.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0053.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0054.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0055.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0051.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0056.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0052.jpg			2
