%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	tag
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1680.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1681.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1667.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1682.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1668.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1683.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1684.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1685.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1669.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1686.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1687.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1688.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1689.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1690.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1691.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1670.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1692.jpg			1
%													
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1693.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1671.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1694.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1672.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1695.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1696.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1697.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1698.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1673.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1699.jpg			1
%													
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1700.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1674.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1701.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1702.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1675.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1703.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1704.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1705.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1706.jpg			1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1707.jpg			1
%													
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1676.jpg			2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1677.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1708.jpg			1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1678.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1709.jpg			1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1679.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1680.jpg			2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1681.jpg			2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1682.jpg			2
