1	0
2	2
3	0
4	3
5	0
6	1
7	0
8	3
9	0
10	1
11	0
12	3
13	0
14	2
15	0
16	3
17	0
18	1
19	0
20	3
21	0
22	1
23	0
24	3
25	0
26	2
27	0
28	3
29	0
30	2
31	0
32	3
33	0
34	1
35	0
36	3
37	0
38	2
39	0
40	3
41	0
42	1
43	0
44	3
45	0
46	2
47	0
48	3
49	0
50	2
51	0
52	3
53	0
54	1
55	0
56	3
57	0
58	2
59	0
60	3
61	0
62	2
63	0
64	3
65	0
66	1
67	0
68	3
69	0
70	1
71	0
72	3
73	0
74	2
75	0
76	3
77	0
78	2
79	0
80	3
81	0
82	1
83	0
84	3
85	0
86	1
87	0
88	3
89	0
90	2
91	0
92	3
93	0
94	2
95	0
96	3
97	0
98	1
99	0
100	3
101	0
102	1
103	0
104	3
105	0
