%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	tag	trialNum	go1Nogo2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1676.jpg			1	63	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1677.jpg			1	64	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1666.jpg			2	65	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1678.jpg			1	66	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1679.jpg			1	67	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1680.jpg			1	68	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1681.jpg			1	69	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1667.jpg			2	70	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1682.jpg			1	71	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1668.jpg			2	72	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1683.jpg			1	73	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1684.jpg			1	74	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1685.jpg			1	75	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1669.jpg			2	76	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1686.jpg			1	77	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1687.jpg			1	78	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1688.jpg			1	79	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1689.jpg			1	80	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1690.jpg			1	81	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1691.jpg			1	82	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1670.jpg			2	83	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1692.jpg			1	84	1
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1693.jpg			1	85	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1671.jpg			2	86	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1694.jpg			1	87	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1672.jpg			2	88	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1695.jpg			1	89	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1696.jpg			1	90	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1697.jpg			1	91	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1698.jpg			1	92	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1673.jpg			2	93	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1699.jpg			1	94	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1700.jpg			1	95	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1674.jpg			2	96	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1701.jpg			1	97	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1702.jpg			1	98	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1675.jpg			2	99	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1703.jpg			1	100	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1704.jpg			1	101	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1705.jpg			1	102	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1706.jpg			1	103	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1707.jpg			1	104	1
%															
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			3	105	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1676.jpg			2	106	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1677.jpg			2	107	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1708.jpg			1	108	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1678.jpg			2	109	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1709.jpg			1	110	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1679.jpg			2	111	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1680.jpg			2	112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1681.jpg			2	113	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1682.jpg			2	105	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1710.jpg			1	106	2
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1683.jpg			2	107	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1684.jpg			2	108	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1711.jpg			1	109	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1685.jpg			2	110	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1686.jpg			2	111	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1687.jpg			2	112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1688.jpg			2	113	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1712.jpg			1	114	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1689.jpg			2	115	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1690.jpg			2	116	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1713.jpg			1	117	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1691.jpg			2	118	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1692.jpg			2	119	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1693.jpg			2	120	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1694.jpg			2	121	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1695.jpg			2	122	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1696.jpg			2	123	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1697.jpg			2	124	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1698.jpg			2	125	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1699.jpg			2	126	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1700.jpg			2	127	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1714.jpg			1	128	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1701.jpg			2	129	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1702.jpg			2	130	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1715.jpg			1	131	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1703.jpg			2	132	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1704.jpg			2	133	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1716.jpg			1	134	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1705.jpg			2	135	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1706.jpg			2	136	1
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1707.jpg			2	137	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1717.jpg			1	138	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1708.jpg			2	139	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1709.jpg			2	140	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1710.jpg			2	141	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1718.jpg			1	142	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1711.jpg			2	143	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1712.jpg			2	144	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1713.jpg			2	145	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1714.jpg			2	146	1
%															
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3	147	0
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1719.jpg			1	148	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1715.jpg			2	149	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1720.jpg			1	150	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1721.jpg			1	151	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1722.jpg			1	152	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1723.jpg			1	153	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1724.jpg			1	154	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1716.jpg			2	155	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1725.jpg			1	156	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1726.jpg			1	157	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1727.jpg			1	158	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1717.jpg			2	159	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1728.jpg			1	160	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1729.jpg			1	161	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1730.jpg			1	162	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1731.jpg			1	163	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1732.jpg			1	164	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1733.jpg			1	165	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1734.jpg			1	166	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1735.jpg			1	167	1
%															
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1718.jpg			2	168	2
