%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag	trialNum	go1Nogo2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1534.jpg			2	63	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1535.jpg			2	64	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1558.jpg			1	65	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1536.jpg			2	66	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1537.jpg			2	67	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1538.jpg			2	68	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1539.jpg			2	69	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1540.jpg			2	70	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1541.jpg			2	71	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1559.jpg			1	72	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1542.jpg			2	73	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1560.jpg			1	74	2
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1543.jpg			2	75	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1544.jpg			2	76	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1545.jpg			2	77	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1546.jpg			2	78	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1561.jpg			1	79	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1547.jpg			2	80	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1548.jpg			2	81	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1549.jpg			2	82	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1562.jpg			1	83	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1550.jpg			2	84	1
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1563.jpg			1	85	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1551.jpg			2	86	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1552.jpg			2	87	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1553.jpg			2	88	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1564.jpg			1	89	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1554.jpg			2	90	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1555.jpg			2	91	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1556.jpg			2	92	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1557.jpg			2	93	1
