%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	trialNum	tags
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1536.jpg			66	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1537.jpg			67	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1538.jpg			68	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1539.jpg			69	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1540.jpg			70	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1541.jpg			71	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1559.jpg			72	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1542.jpg			73	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1560.jpg			74	2
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1543.jpg			75	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1544.jpg			76	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1545.jpg			77	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1546.jpg			78	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1561.jpg			79	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1547.jpg			80	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1548.jpg			81	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1549.jpg			82	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1562.jpg			83	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1550.jpg			84	3
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1563.jpg			85	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1551.jpg			86	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1552.jpg			87	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1553.jpg			88	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1564.jpg			89	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1554.jpg			90	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1555.jpg			91	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1556.jpg			92	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1557.jpg			93	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1558.jpg			94	3
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1559.jpg			95	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1560.jpg			96	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1561.jpg			97	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1562.jpg			98	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1565.jpg			99	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1563.jpg			100	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1564.jpg			101	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1565.jpg			102	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1566.jpg			103	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1566.jpg			104	3
%														
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			105	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1567.jpg			106	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1568.jpg			107	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1569.jpg			108	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1570.jpg			109	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1571.jpg			110	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1567.jpg			111	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1572.jpg			112	1
