%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0152.jpg			65	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0160.jpg			66	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0161.jpg			67	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0162.jpg			68	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0163.jpg			69	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0153.jpg			70	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0164.jpg			71	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0154.jpg			72	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0165.jpg			73	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0166.jpg			74	1
%														
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0167.jpg			75	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0155.jpg			76	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0168.jpg			77	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0169.jpg			78	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0170.jpg			79	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0171.jpg			80	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0172.jpg			81	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0173.jpg			82	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0156.jpg			83	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0174.jpg			84	1
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0175.jpg			85	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0157.jpg			86	4
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0176.jpg			87	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0158.jpg			88	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0177.jpg			89	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0178.jpg			90	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0179.jpg			91	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0180.jpg			92	1
