%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag	trialNum	go1Nogo2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0018.jpg			2	63	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0019.jpg			2	64	3
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0042.jpg			1	65	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0020.jpg			2	66	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0021.jpg			2	67	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0022.jpg			2	68	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0023.jpg			2	69	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0024.jpg			2	70	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0025.jpg			2	71	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0043.jpg			1	72	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0026.jpg			2	73	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0044.jpg			1	74	2
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0027.jpg			2	75	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0028.jpg			2	76	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0029.jpg			2	77	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0030.jpg			2	78	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0045.jpg			1	79	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0031.jpg			2	80	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0032.jpg			2	81	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0033.jpg			2	82	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0046.jpg			1	83	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0034.jpg			2	84	3
%															
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0047.jpg			1	85	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0035.jpg			2	86	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0036.jpg			2	87	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0037.jpg			2	88	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0048.jpg			1	89	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0038.jpg			2	90	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0039.jpg			2	91	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0040.jpg			2	92	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0041.jpg			2	93	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0042.jpg			2	94	3
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0043.jpg			2	95	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0044.jpg			2	96	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0045.jpg			2	97	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral0046.jpg			2	98	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0049.jpg			1	99	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0047.jpg			2	100	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0048.jpg			2	101	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0049.jpg			2	102	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0050.jpg			1	103	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0050.jpg			2	104	3
%															
s	1	0	5	5	0	n	n	n		instruct_PRC.jpg			3	105	0
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0051.jpg			1	106	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0052.jpg			1	107	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0053.jpg			1	108	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0054.jpg			1	109	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0055.jpg			1	110	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0051.jpg			2	111	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0056.jpg			1	112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0052.jpg			2	113	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0057.jpg			1	105	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0058.jpg			1	106	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral0053.jpg			2	107	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0059.jpg			1	108	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0060.jpg			1	109	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0054.jpg			2	110	4
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0061.jpg			1	111	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0062.jpg			1	112	1
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0063.jpg			1	113	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0064.jpg			1	114	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0065.jpg			1	115	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0066.jpg			1	116	1
%															
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC0067.jpg			1	117	1
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral0055.jpg			2	118	4
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC0068.jpg			1	119	1
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC0069.jpg			1	120	1
