%type	num	pre	max	tot	rep	stpEvt	bg	st	bgfile	stfile	h	v	trialNum	tags
s	1	0	5	5	0	n	n	n		crosshair.jpg			1	0
s	1	0	5	5	0	n	n	n		instruct_Neutral.jpg			2	0
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1625.jpg			3	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1626.jpg			4	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1627.jpg			5	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1628.jpg			6	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1629.jpg			7	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1659.jpg			8	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1630.jpg			9	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1660.jpg			10	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1631.jpg			11	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1632.jpg			12	3
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1661.jpg			13	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1633.jpg			14	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1634.jpg			15	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1662.jpg			16	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1635.jpg			17	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1636.jpg			18	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1637.jpg			19	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1638.jpg			20	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1639.jpg			21	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1640.jpg			22	3
%														
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1641.jpg			23	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1663.jpg			24	2
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1642.jpg			25	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1643.jpg			26	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1644.jpg			27	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1645.jpg			28	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1646.jpg			29	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1647.jpg			30	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1648.jpg			31	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1664.jpg			33	2
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1649.jpg			34	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1665.jpg			35	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1650.jpg			36	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	PRC1666.jpg			37	2
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1651.jpg			38	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	PRC1667.jpg			39	2
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1652.jpg			40	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1653.jpg			41	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1654.jpg			42	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	PRC1668.jpg			43	2
%														
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1655.jpg			44	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1656.jpg			45	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1657.jpg			46	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1658.jpg			47	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1659.jpg			48	3
s	1	0	1	1.5	0	"""123456789"""	p	p	crosshair.jpg	Neutral1660.jpg			49	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1661.jpg			50	3
s	1	0	1	1.333333333	0	"""123456789"""	p	p	crosshair.jpg	Neutral1662.jpg			51	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1663.jpg			52	3
s	1	0	1	1.166666667	0	"""123456789"""	p	p	crosshair.jpg	Neutral1664.jpg			53	3
%														
